ID,DateTime,OutcomeType,AnimalType,SexuponOutcome,AgeuponOutcome,Breed,Color
A671945,2014-02-12 18:22:00,Return_to_owner,Dog,Neutered Male,1 year,Shetland Sheepdog Mix,Brown/White
A656520,2013-10-13 12:44:00,Euthanasia,Cat,Spayed Female,1 year,Domestic Shorthair Mix,Cream Tabby
A686464,2015-01-31 12:28:00,Adoption,Dog,Neutered Male,2 years,Pit Bull Mix,Blue/White
A683430,2014-07-11 19:09:00,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Cream
A667013,2013-11-15 12:52:00,Transfer,Dog,Neutered Male,2 years,Lhasa Apso/Miniature Poodle,Tan
A677334,2014-04-25 13:04:00,Transfer,Dog,Intact Female,1 month,Cairn Terrier/Chihuahua Shorthair,Black/Tan
A699218,2015-03-28 13:11:00,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Blue Tabby
A701489,2015-04-30 17:02:00,Transfer,Cat,Unknown,3 weeks,Domestic Shorthair Mix,Brown Tabby
A671784,2014-02-04 17:17:00,Adoption,Dog,Spayed Female,5 months,American Pit Bull Terrier Mix,Red/White
A677747,2014-05-03 07:48:00,Adoption,Dog,Spayed Female,1 year,Cairn Terrier,White
A668402,2013-12-05 15:50:00,Transfer,Cat,Unknown,2 years,Domestic Shorthair Mix,Black
A666320,2013-11-04 14:48:00,Adoption,Dog,Spayed Female,2 years,Miniature Schnauzer Mix,Silver
A684601,2016-02-03 11:27:00,Adoption,Dog,Neutered Male,4 years,Pit Bull Mix,Brown
A704702,2015-06-08 16:30:00,Return_to_owner,Dog,Neutered Male,2 years,Yorkshire Terrier Mix,Black/Red
A688584,2015-11-25 15:00:00,Return_to_owner,Dog,Neutered Male,1 year,Great Pyrenees Mix,White/Cream
A678825,2014-07-12 12:10:00,Adoption,Cat,Neutered Male,3 months,Domestic Shorthair Mix,Orange Tabby/White
A678050,2014-05-03 16:15:00,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby
A680028,2014-06-07 12:54:00,Transfer,Dog,Intact Female,2 weeks,Pit Bull Mix,Brown/White
A679010,2014-05-17 11:32:00,Transfer,Cat,Intact Female,2 years,Angora Mix,White
A684787,2014-07-30 17:34:00,Return_to_owner,Dog,Neutered Male,1 year,Flat Coat Retriever Mix,Black
A670658,2014-01-19 15:03:00,Transfer,Dog,Intact Male,2 months,Queensland Heeler Mix,Black/White
A708812,2015-09-18 15:19:00,Transfer,Cat,Spayed Female,1 year,Domestic Shorthair Mix,White
A705262,2015-08-15 14:22:00,Adoption,Dog,Spayed Female,2 years,Plott Hound/Boxer,Brown Brindle/White
A665781,2013-10-28 16:32:00,Adoption,Dog,Neutered Male,10 months,German Shepherd Mix,Brown/White
A676333,2014-04-09 17:44:00,Return_to_owner,Dog,Neutered Male,2 months,German Shepherd Mix,Black/Brown
A712750,2015-10-03 15:44:00,Transfer,Cat,Intact Female,1 month,Domestic Shorthair Mix,Orange Tabby
A718832,2016-01-15 17:31:00,Adoption,Dog,Spayed Female,6 months,American Staffordshire Terrier Mix,Chocolate/White
A698777,2015-03-25 18:50:00,Adoption,Dog,Spayed Female,5 years,Chihuahua Shorthair Mix,White/Tan
A715348,2015-11-21 13:01:00,Adoption,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Cream Tabby/White
A708666,2015-07-30 14:30:00,Return_to_owner,Cat,Neutered Male,7 years,Russian Blue Mix,Blue
A718535,2016-01-01 13:57:00,Euthanasia,Cat,Spayed Female,3 years,Domestic Shorthair Mix,Calico
A707341,2015-07-15 15:25:00,Transfer,Dog,Intact Male,4 months,Labrador Retriever Mix,Black/White
